Policy Number,Policy Create Date,Policy Expiration Date,Annual Premium,Excess
16102401,2018-08-16,2019-08-16,965.21,375
26448215,2015-12-26,2016-12-25,1346.18,375
40922910,2019-08-09,2020-08-08,1635.62,375
43293983,2016-04-23,2017-04-23,1049.0,500
51195864,2018-02-19,2019-02-19,1274.7,1250
36395486,2019-04-10,2020-04-09,1908.09,850
32850276,2016-08-22,2017-08-22,1722.88,850
94041088,2018-02-15,2019-02-15,1101.51,250
90718924,2017-10-13,2018-10-13,1272.95,500
51278451,2018-05-18,2019-05-18,1104.5,1100
16868327,2017-08-06,2018-08-06,1619.75,850
32269248,2018-12-11,2019-12-11,1366.39,1250
35410919,2015-10-25,2016-10-24,1514.72,850
20716946,2017-03-18,2018-03-18,1109.83,500
90102508,2019-03-01,2020-02-29,1723.06,850
40744509,2015-12-30,2016-12-29,1021.9,500
51460517,2018-11-15,2019-11-15,1195.01,850
9677945,2015-11-30,2016-11-29,1344.36,1250
34297743,2018-01-23,2019-01-23,1052.85,375
17682060,2017-10-14,2018-10-14,1035.08,500
29750601,2017-09-05,2018-09-05,1484.15,500
97698815,2019-08-09,2020-08-08,1653.75,750
28920170,2017-07-01,2018-07-01,1205.09,1000
55572419,2015-12-30,2016-12-29,912.29,500
77219712,2019-06-09,2020-06-08,1912.56,250
39286853,2016-12-27,2017-12-27,1318.79,500
47226965,2015-08-13,2016-08-12,1285.03,1100
68757979,2015-05-07,2016-05-06,1220.86,250
69956308,2015-12-16,2016-12-15,1090.65,500
47603757,2018-02-21,2019-02-21,1435.09,250
83534717,2018-01-20,2019-01-20,1265.84,500
40480522,2016-07-16,2017-07-16,1281.01,250
86597605,2016-05-15,2017-05-15,1305.35,375
7829022,2015-05-01,2016-04-30,1221.14,750
77985379,2015-07-20,2016-07-19,1326.0,850
2826434,2017-12-30,2018-12-30,1596.98,1000
16548727,2019-07-24,2020-07-23,1172.45,375
94267140,2016-12-08,2017-12-08,1128.22,375
5637733,2019-11-26,2020-11-25,1716.8,250
684748,2017-01-05,2018-01-05,1291.71,375
65047878,2015-10-08,2016-10-07,1140.91,850
84614509,2018-05-16,2019-05-16,1222.75,1000
93766634,2018-07-14,2019-07-14,1564.43,250
68712439,2015-06-24,2016-06-23,1131.4,375
88785895,2016-10-30,2017-10-30,1014.79,500
33924586,2018-04-29,2019-04-29,1231.98,750
1852176,2018-04-14,2019-04-14,1082.36,1000
58107776,2015-04-04,2016-04-03,1007.0,250
30743608,2019-07-06,2020-07-05,1321.16,500
50530333,2016-08-09,2017-08-09,994.03,500
29282358,2018-09-17,2019-09-17,828.42,500
55375167,2017-08-18,2018-08-18,1357.36,500
37692329,2017-07-05,2018-07-05,1706.31,500
2753882,2018-05-12,2019-05-12,1515.3,1000
88219691,2018-05-17,2019-05-17,1132.74,1100
67722830,2018-11-12,2019-11-12,1483.25,250
11321295,2018-08-22,2019-08-22,1459.93,750
28502965,2019-08-31,2020-08-30,1190.99,500
51782731,2015-04-19,2016-04-18,1326.98,1000
76395629,2015-03-06,2016-03-05,1012.78,375
20960664,2018-09-18,2019-09-18,951.56,850
79683883,2017-09-21,2018-09-21,1045.1399999999999,250
33388786,2018-01-17,2019-01-17,1468.82,850
52361935,2018-08-31,2019-08-31,845.16,750
97038550,2018-02-04,2019-02-04,1346.18,1250
25911554,2018-11-12,2019-11-12,1462.76,850
43834942,2019-12-17,2020-12-16,1528.56,500
17242900,2016-10-08,2017-10-08,1029.73,500
54094880,2015-03-31,2016-03-30,1482.53,500
59809467,2016-10-20,2017-10-20,1049.0,375
62204138,2017-01-25,2018-01-25,1431.25,1000
93993324,2018-01-14,2019-01-14,1328.18,850
84995304,2017-04-25,2018-04-25,1779.94,850
70955654,2018-03-07,2019-03-07,1203.17,1000
43274276,2015-10-29,2016-10-28,719.52,375
23236713,2017-10-17,2018-10-17,1062.29,500
76501371,2019-12-14,2020-12-13,1510.62,1000
56554262,2015-07-11,2016-07-10,1451.54,1100
48123202,2018-08-07,2019-08-07,1221.41,375
93915431,2017-09-25,2018-09-25,1537.35,250
38560100,2015-09-22,2016-09-21,1581.27,850
31544049,2016-04-25,2017-04-25,1320.02,1100
68615086,2018-02-20,2019-02-20,1451.62,1000
55535045,2017-12-03,2018-12-03,1448.85,1250
17988592,2018-03-24,2019-03-24,1429.96,750
4883962,2016-08-11,2017-08-11,1075.54,500
33812279,2018-08-13,2019-08-13,1896.91,250
81854173,2017-07-08,2018-07-08,1555.99,850
24579061,2018-03-10,2019-03-10,1373.21,1000
29478976,2017-06-30,2018-06-30,1444.41,1250
10462042,2015-09-12,2016-09-11,1848.81,250
52265112,2019-08-31,2020-08-30,1128.03,500
53900680,2018-08-28,2019-08-28,1050.24,500
69784779,2018-10-18,2019-10-18,1537.13,375
26810768,2016-09-29,2017-09-29,1444.43,850
82637319,2017-11-20,2018-11-20,1460.8,250
69546065,2017-10-23,2018-10-23,1884.09,500
67427492,2018-12-30,2019-12-30,1524.18,1000
18213216,2017-06-07,2018-06-07,1197.06,500
98204394,2018-05-24,2019-05-24,1178.61,375
63413368,2018-12-22,2019-12-22,1274.63,250
91136854,2019-03-09,2020-03-08,1432.25,375
11187680,2017-03-23,2018-03-23,1549.85,1000
88205075,2016-01-26,2017-01-25,1225.51,1000
40728123,2016-01-01,2016-12-31,1098.46,750
65176092,2019-05-01,2020-04-30,1191.28,750
84229777,2015-06-05,2016-06-04,1439.9,1250
76093960,2019-07-26,2020-07-25,1326.48,500
36994344,2019-12-02,2020-12-01,1802.65,1000
68043300,2019-01-04,2020-01-04,1626.27,1000
28901669,2019-10-23,2020-10-22,1120.19,500
86916099,2019-01-05,2020-01-05,1298.29,500
29826894,2018-08-12,2019-08-12,920.3,750
79637467,2018-11-16,2019-11-16,984.02,500
36632227,2019-03-11,2020-03-10,1415.98,375
77510822,2019-09-03,2020-09-02,1796.43,1000
2651069,2018-09-21,2019-09-21,1266.92,1000
8150738,2016-08-08,2017-08-08,1497.78,375
67268108,2018-02-21,2019-02-21,1393.34,500
53907868,2019-11-11,2020-11-10,1512.18,850
86246733,2018-11-12,2019-11-12,1088.34,250
45568489,2015-05-14,2016-05-13,1304.83,500
28032985,2019-11-05,2020-11-04,1582.51,375
33210182,2015-11-04,2016-11-03,803.36,500
24731784,2019-07-31,2020-07-30,1684.04,850
36126424,2018-01-04,2019-01-04,1558.86,500
95452498,2017-12-31,2018-12-31,1132.22,750
22756942,2016-11-06,2017-11-06,1105.09,250
62489316,2015-01-18,2016-01-18,1333.97,250
4825461,2017-05-02,2018-05-02,1425.62,1000
63915259,2018-06-24,2019-06-24,1489.24,750
6723724,2016-12-05,2017-12-05,1105.09,375
51719336,2019-02-22,2020-02-22,1488.35,750
89808931,2017-02-04,2018-02-04,1483.97,1100
55105629,2018-08-15,2019-08-15,942.51,750
79076502,2015-04-29,2016-04-28,1568.47,1000
81131066,2019-04-01,2020-03-31,1586.78,850
75995055,2017-06-08,2018-06-08,1426.73,1100
24425429,2018-07-30,2019-07-30,1631.1,250
51382348,2016-08-23,2017-08-23,1136.48,500
18842829,2019-08-07,2020-08-06,1301.17,750
98180346,2019-10-08,2020-10-07,1281.99,500
53013094,2018-07-06,2019-07-06,1573.93,375
25263633,2015-03-02,2016-03-01,1331.69,375
16444738,2017-08-19,2018-08-19,1335.78,850
64231993,2019-02-27,2020-02-27,1347.83,375
89530919,2016-11-07,2017-11-07,1187.16,850
38011078,2018-10-27,2019-10-27,1054.92,250
76314493,2019-09-15,2020-09-14,1654.06,850
51975640,2018-12-14,2019-12-14,1305.26,850
47593642,2019-09-26,2020-09-25,1663.48,250
42439009,2017-12-31,2018-12-31,1062.29,500
51613894,2019-12-19,2020-12-18,1188.63,375
49078798,2019-02-08,2020-02-08,1812.0,500
17822772,2018-04-07,2019-04-07,664.86,500
94643289,2018-08-23,2019-08-23,433.33,250
47535244,2018-07-22,2019-07-22,1780.67,850
70770204,2017-03-07,2018-03-07,1213.67,500
92171044,2019-06-27,2020-06-26,1740.17,250
98218159,2017-02-28,2018-02-28,1247.64,500
24112592,2017-11-27,2018-11-27,1701.61,250
97053819,2019-10-18,2020-10-17,1347.83,500
88484857,2019-10-06,2020-10-05,2045.43,250
89965541,2016-06-16,2017-06-16,1675.45,1100
96431710,2019-01-11,2020-01-11,1474.74,1000
13059025,2015-02-25,2016-02-25,1078.22,850
49481916,2018-10-14,2019-10-14,1588.22,1000
10956208,2016-08-22,2017-08-22,1431.88,375
43059280,2016-10-31,2017-10-31,1147.57,250
92971195,2017-12-26,2018-12-26,1389.22,375
97578924,2019-08-13,2020-08-12,1521.56,850
81790039,2015-12-11,2016-12-10,1148.73,1000
36812323,2016-08-31,2017-08-31,1120.63,250
63544225,2019-11-10,2020-11-09,1554.92,750
4669941,2019-02-17,2020-02-17,1724.19,250
64395359,2018-11-09,2019-11-09,1625.65,1000
25634799,2019-05-28,2020-05-27,1906.95,1000
31654316,2019-08-02,2020-08-01,1793.11,250
49499709,2017-07-13,2018-07-13,1385.1,500
45415342,2017-07-14,2018-07-14,1536.93,375
72734097,2019-02-14,2020-02-14,1795.83,250
94707309,2016-11-16,2017-11-16,1309.02,850
84750181,2015-07-04,2016-07-03,1389.59,500
58380749,2017-04-06,2018-04-06,1419.76,850
42345842,2016-05-11,2017-05-11,1639.54,500
54103924,2015-12-26,2016-12-25,1402.75,1000
48099288,2017-09-16,2018-09-16,1359.07,500
57896241,2019-11-01,2020-10-31,1157.8,500
70730377,2016-09-27,2017-09-27,986.61,375
6125426,2015-03-01,2016-02-29,1134.08,500
48227009,2018-03-04,2019-03-04,1205.86,375
86308184,2017-03-30,2018-03-30,1144.74,500
69065193,2017-04-24,2018-04-24,1504.2,1250
79846638,2019-12-05,2020-12-04,1087.3200000000002,250
38047917,2015-01-24,2016-01-24,1034.27,500
73611258,2018-08-12,2019-08-12,1301.13,750
14696479,2017-06-24,2018-06-24,1524.22,1000
25166037,2017-12-26,2018-12-26,1389.22,250
1123356,2017-02-09,2018-02-09,1338.51,1100
97162684,2015-10-12,2016-10-11,976.67,250
95055469,2018-12-03,2019-12-03,1203.81,500
56985179,2016-10-07,2017-10-07,1157.59,750
69039320,2019-10-22,2020-10-21,1496.22,500
84514444,2016-09-23,2017-09-23,1293.68,250
79953263,2015-09-25,2016-09-24,1117.17,1100
15557396,2016-08-02,2017-08-02,1220.53,1000
95002919,2015-04-12,2016-04-11,525.0,500
7612094,2016-12-05,2017-12-05,1293.84,250
53260501,2019-12-10,2020-12-09,1658.17,1250
92072156,2017-07-21,2018-07-21,1632.14,1100
77570823,2017-07-10,2018-07-10,872.66,500
69010101,2017-08-08,2018-08-08,1481.94,250
1223055,2017-02-14,2018-02-14,1366.56,750
9884792,2019-06-30,2020-06-29,987.36,375
1144598,2018-10-19,2019-10-19,1561.41,1250
59716520,2017-09-18,2018-09-18,1862.68,375
59056552,2017-12-22,2018-12-22,1175.54,500
25164999,2015-12-27,2016-12-26,1537.07,250
70761779,2017-07-20,2018-07-20,1693.68,1000
62934102,2019-09-20,2020-09-19,1759.86,1000
11472207,2019-08-06,2020-08-05,1055.46,500
97856694,2016-09-19,2017-09-19,1028.46,750
86818440,2015-05-28,2016-05-27,1075.71,375
66433138,2019-10-12,2020-10-11,1238.92,850
87806611,2016-08-06,2017-08-06,1326.57,750
36252121,2018-05-10,2019-05-10,1158.03,1000
19916012,2015-07-06,2016-07-05,1061.33,1000
79440308,2018-08-16,2019-08-16,1059.52,1000
23116437,2015-02-24,2016-02-24,1530.52,1000
58957713,2016-10-29,2017-10-29,1125.41,500
4798021,2019-02-16,2020-02-16,1202.73,500
83441797,2015-02-09,2016-02-09,1346.27,1000
30154531,2015-04-17,2016-04-16,1475.73,375
38117638,2018-12-07,2019-12-07,653.66,500
12112711,2018-05-09,2019-05-09,1583.91,500
4652602,2018-12-27,2019-12-27,1395.77,1250
45187280,2016-08-04,2017-08-04,1626.41,850
77930023,2016-02-27,2017-02-26,1265.85,1000
58934617,2017-09-18,2018-09-18,1509.36,1250
41182960,2018-01-27,2019-01-27,1278.75,500
64488618,2019-01-30,2020-01-30,1046.92,250
59793026,2019-04-23,2020-04-22,1546.87,375
86621072,2016-02-16,2017-02-15,759.14,500
47250458,2016-06-21,2017-06-21,1266.68,375
35163792,2017-09-05,2018-09-05,1206.71,500
93871952,2015-02-08,2016-02-08,1004.14,500
32464636,2018-12-27,2019-12-27,1518.46,1100
7583158,2015-06-08,2016-06-07,1344.56,500
80670612,2017-04-19,2018-04-19,1549.85,750
21840201,2016-07-14,2017-07-14,1452.75,750
29130403,2015-02-28,2016-02-28,1347.04,250
89806715,2019-12-13,2020-12-12,1325.62,850
56016139,2019-03-08,2020-03-07,1772.55,500
20028241,2019-05-15,2020-05-14,1652.82,1250
98341654,2017-10-20,2018-10-20,1522.18,1250
44643917,2019-04-16,2020-04-15,1890.79,850
76185878,2017-08-13,2018-08-13,1202.85,850
18665169,2018-12-29,2019-12-29,1056.71,500
17177153,2019-05-16,2020-05-15,1597.14,500
84736739,2019-02-14,2020-02-14,1605.59,850
20110599,2017-06-15,2018-06-15,1601.54,1100
15635627,2017-05-19,2018-05-19,1383.85,1100
3374112,2015-11-15,2016-11-14,1836.02,500
78415715,2016-08-05,2017-08-05,1487.33,1100
83080037,2018-03-09,2019-03-09,1595.28,850
74017955,2015-02-23,2016-02-23,1256.2,500
33372791,2016-07-29,2017-07-29,1136.48,1000
48874104,2019-06-16,2020-06-15,1132.1,500
61822144,2017-01-04,2018-01-04,1762.43,1250
95418320,2019-03-29,2020-03-28,1441.0,500
26450621,2017-10-25,2018-10-25,1229.92,850
64622520,2018-03-20,2019-03-20,1407.01,1250
32521691,2019-03-11,2020-03-10,1081.8899999999999,500
39444603,2016-01-01,2016-12-31,1237.01,250
48960366,2017-04-15,2018-04-15,1369.27,500
80701300,2017-05-02,2018-05-02,1305.38,500
13275896,2016-06-07,2017-06-07,1069.44,1000
62816998,2015-08-22,2016-08-21,1588.22,250
85700566,2019-11-28,2020-11-27,1365.46,1100
81138909,2018-09-03,2019-09-03,1368.57,250
31115028,2017-11-28,2018-11-28,1035.08,375
59843845,2017-04-22,2018-04-22,1577.14,750
75471235,2016-07-12,2017-07-12,1357.74,1250
37365245,2016-05-08,2017-05-08,1262.12,1100
30886292,2018-04-17,2019-04-17,1245.61,500
20094340,2018-05-03,2019-05-03,1589.54,1000
40948894,2018-08-06,2019-08-06,1335.13,250
59903277,2015-09-11,2016-09-10,1570.86,500
4412055,2017-01-16,2018-01-16,1253.58,1000
63302691,2015-02-03,2016-02-03,1090.03,1000
69473158,2019-07-18,2020-07-17,1816.93,850
30943507,2018-05-26,2019-05-26,1464.73,250
88072232,2015-12-19,2016-12-18,1132.47,500
17859000,2016-08-25,2017-08-25,1225.7,250
44758258,2016-10-23,2017-10-23,1464.74,250
59389375,2018-12-14,2019-12-14,1240.47,250
56357617,2015-02-11,2016-02-11,1439.9,500
82034436,2015-12-23,2016-12-22,1392.39,250
85532819,2017-09-05,2018-09-05,1454.67,375
23741962,2018-05-26,2019-05-26,1285.03,250
96543848,2019-04-25,2020-04-24,1263.92,375
91135917,2017-12-24,2018-12-24,1444.04,250
524545,2016-11-18,2017-11-18,1293.84,850
89479887,2019-09-03,2020-09-02,1532.83,750
73495163,2016-05-31,2017-05-31,1174.69,1000
49889657,2019-07-18,2020-07-17,1393.07,1000
96931053,2018-01-04,2019-01-04,1927.87,500
1300972,2016-02-04,2017-02-03,1301.65,250
83887508,2016-06-17,2017-06-17,1205.38,250
53897607,2015-08-19,2016-08-18,1326.0,500
92392817,2017-09-09,2018-09-09,1506.92,1000
75086914,2018-05-24,2019-05-24,1275.39,1100
27868943,2016-02-29,2017-02-28,1288.92,1100
42238302,2017-04-18,2018-04-18,1705.52,1000
83882449,2018-06-11,2019-06-11,1318.06,750
53191091,2018-02-02,2019-02-02,796.35,500
55836042,2015-04-03,2016-04-02,828.42,375
19796899,2015-12-01,2016-11-30,1377.94,750
42014103,2015-04-25,2016-04-24,1609.67,500
66632396,2019-11-16,2020-11-15,1113.7,375
34778857,2019-06-06,2020-06-05,1302.76,850
28437868,2018-02-18,2019-02-18,1279.13,250
85641672,2019-06-26,2020-06-25,1769.54,750
86985239,2018-03-24,2019-03-24,1053.04,500
19409471,2015-11-25,2016-11-24,1236.5,850
98537509,2019-08-27,2020-08-26,1589.99,375
36871042,2016-04-24,2017-04-24,1091.36,500
62206180,2018-03-01,2019-03-01,1331.94,1100
6448629,2018-12-26,2019-12-26,1722.95,1100
30197131,2019-06-07,2020-06-06,1423.22,250
7988398,2017-07-28,2018-07-28,1737.96,1250
13687085,2017-12-04,2018-12-04,1480.46,1250
30864915,2019-05-10,2020-05-09,1347.83,375
44665885,2017-05-14,2018-05-14,1614.42,750
14604149,2016-12-23,2017-12-23,1327.25,850
9600820,2018-10-01,2019-10-01,973.8,375
54275114,2015-11-05,2016-11-04,1261.28,1100
24065986,2015-08-14,2016-08-13,1437.33,1000
52208972,2015-12-04,2016-12-03,1268.35,850
13435761,2018-12-26,2019-12-26,1403.9,250
64916376,2019-07-30,2020-07-29,1381.22,750
35895151,2015-03-15,2016-03-14,1060.88,850
8201624,2016-12-26,2017-12-26,1513.82,850
55933927,2019-06-04,2020-06-03,1375.5,850
65899365,2019-04-26,2020-04-25,1212.44,500
57025376,2018-08-22,2019-08-22,1230.76,1000
92189083,2015-05-15,2016-05-14,817.28,250
83836752,2017-12-12,2018-12-12,1508.2,750
43806629,2015-03-01,2016-02-29,1310.76,1000
